water_level,precipitation,temperature,humidity,visibility,wind,weather,pressure,fire,wl_change,temp_change,pressure_change
468,0,24.9,31,100,4,0,993.8,4,-3,-0.3,-0.4
140,0,27.9,22,20,1,0,1004.1,4,-2,0.6,-1
464,0,25.6,28,20,2,1,1001.2,4,-7,-1.8,-0.3
467,0,26.7,26,100,3,0,992.3,4,-1,1.2,-1.3
138,0,29.1,22,20,1,0,1001.3,4,-2,2.5,-1.3
461,0,27.2,30,20,3,0,999.9,4,-3,-0.8,-0.7
459,16,21,88,10,1,3,987.3,5,-1,1.6,1.3
500,2,18.2,93,10,1,8,996.6,4,-2,-8,2.6
459,16,21,88,10,1,3,987.3,5,-1,1.6,1.3
500,2,18.2,93,10,1,8,996.6,4,-2,-8,2.6
341,0,24.7,50,10,2,0,993.9,4,-10,1.1,-1.9
333,0,24.9,54,10,1,1,987.1,4,-8,0.7,0.3
189,0,29,30,4,2,1,997.2,4,-3,1,-0.6
203,0.1,20.2,89,10,2,8,991.9,4,-4,-5.6,0
284,0,16.6,57,100,2,2,1014.6,4,-11,6,1
190,0,14.3,76,100,1,0,1013,4,-12,3.1,1.3
271,0,22.9,37,100,4,0,1008.7,4,-13,1.5,-2
177,0,22.6,38,100,5,0,1007.6,4,-13,2.4,-1.9
259,0,17.2,79,100,2,1,1006.7,4,-12,1.8,0.7
167,0,17.6,85,100,2,1,1005,4,-10,2.1,0.2
248,0,25.5,51,100,2,0,1011.2,4,-11,5.2,0
159,0,25.1,56,100,2,0,1010.2,4,-8,4.7,0.3
237,0,16.3,88,100,1,2,1011.2,4,-11,0,0
150,0,15.6,93,100,2,2,1009.9,4,-9,-1.3,0.2
225,0,18.3,80,100,1,2,1006.4,4,-12,-0.1,-0.6
144,0,16.8,91,100,2,2,1005.7,4,-6,-0.5,-0.8
450,0,19.8,76,20,3,2,1007.2,4,-8,-0.3,-0.4
140,0.9,17.5,95,100,2,3,997.9,4,-4,0.4,-1.1
138,0,20.9,50,100,4,0,1004.4,4,-2,5.4,-0.3
134,0,22.5,44,100,3,2,1009,4,-4,6.8,0.1
131,0,26.7,43,100,3,1,1009.2,4,-3,3.8,-0.8
127,0,24.1,59,100,1,0,1008.9,4,-4,3.9,0
103,0,20.2,60,10,2,2,1009.8,4,-11,10.8,1
123,0,22.3,74,100,2,2,1013.2,4,-4,8.3,0.4
144,0,18.3,66,20,1,0,1012.2,4,-2,11.6,1.2
94,0,27.6,34,10,3,0,1009.7,4,-9,-0.9,-1
130,0,21.6,46,10,1,2,1011.8,4,-1,-0.7,-0.5
120,0,28.1,37,100,2,0,1014.2,5,-3,-0.3,-1.1
142,0,25.2,33,20,2,2,1011.3,4,-2,-0.5,-1.2
85,0,19.7,68,10,2,2,1009.9,4,-9,12.8,0.2
129,0,19.2,61,10,1,2,1012.5,4,-1,10.8,0.2
116,0,20.8,59,100,1,0,1013.5,4,-4,11.5,-0.5
140,0,17.9,65,20,1,2,1012.3,4,-2,11.3,0.4
80,0,20.1,63,10,1,0,1008.1,4,-5,10.2,0.1
114,0,20.8,75,100,1,2,1011.1,4,-2,7.7,-0.1
74,0,21.2,66,10,2,1,1002.6,4,-6,4.1,-0.7
251,0,25.7,48,20,1,1,1007.7,4,-2,5.1,-0.2
179,0,26.4,43,10,1,0,1006.2,4,-1,7.6,-0.6
509,0,24.1,51,100,1,0,1010,4,-5,5.5,-0.3
132,0,25.7,46,20,2,0,1004.7,4,-4,7.1,-0.5
240,0,25.7,43,20,3,2,1002.3,4,-3,4.9,-0.3
69,0,27.2,49,10,3,0,1006.2,4,-5,5.3,0.2
469,0,26.8,46,20,3,0,994.9,4,-8,6.6,-0.5
127,0,19.5,43,10,1,2,1007.5,4,-1,3.5,-0.1
249,0,19.6,38,20,3,2,1011.1,4,-2,4,0.1
178,0,21.2,38,10,2,2,1009.6,4,-1,3.8,0.2
506,0,20.8,39,100,3,2,1014,4,-3,3.4,0.2
129,0,21.2,61,20,4,0,1008.2,4,-3,4.1,0.3
236,0,22.9,39,20,3,2,1005.9,4,-4,5.2,-0.4
64,0,24.9,45,10,2,2,1008.5,4,-5,4.9,-0.7
451,0,24.9,46,100,3,0,998.4,4,-18,4.1,-0.1
126,0,24.3,44,10,2,0,1003.7,4,-1,5.8,-2
247,0,21.7,52,20,2,1,1008.2,4,-2,3.9,-1.6
178,0,24,43,10,2,0,1007.7,4,0,6.8,-1.8
506,0,22.9,50,100,3,0,1011.7,4,0,5.2,-1.5
127,0,23,40,20,3,0,1009.2,4,-2,5.6,-1.3
234,0,12.8,91,20,2,1,1001.9,4,-2,-0.3,-0.4
58,0,16.9,93,10,3,0,1006,4,-6,-1.1,0.2
429,0,7.8,97,20,1,2,998,4,-22,-1.7,-0.4
512,0,12.1,83,100,4,1,1012.9,4,6,-3.3,1.9
125,0.3,15.7,96,10,2,0,1006.7,4,-2,2,0.7
